temp.csv
Day of Week,Start time,End time,Break 1 time,Break 1 length,Break 2 time,Break 2 length,Break 3 time,Break 3 length
Sunday,6:00 AM,2:00 PM,8:00 AM,15,10:00 AM,30,12:00 AM,15
Monday,9:00 AM,5:30 PM,11:00 AM,15,1:00 PM,30,3:00 PM,15
Tuesday,9:00 AM,5:30 PM,11:00 AM,15,1:00 PM,30,3:00 PM,15
Wednesday,9:00 AM,5:30 PM,11:00 AM,15,1:00 PM,30,3:00 PM,15
Thursday,9:00 AM,5:30 PM,11:00 AM,15,1:00 PM,30,3:00 PM,15
